,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
1203,ENCBS395ENC,unknown,,,primary cell,choroid plexus epithelial cell,,,,,,,choroid plexus epithelial cells,/biosamples/ENCBS395ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens choroid plexus epithelial primary cell,,ENCBS559KYO
1204,ENCBS395HXI,27,year,27 years,primary cell,"common myeloid progenitor, CD34-positive",,,,,,,Flow sorted mobilized CD34+ cells from cord blood of a healthy 27 year old Caucasian female. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS395HXI/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (27 years) common myeloid progenitor, CD34-positive primary cell",,"ENCBS678CIT,ENCBS238NAP"
1205,ENCBS397COL,44,year,44 years,cell line,OCI-LY1,,,,,2012-09-08,,"established from the bone marrow of a 44-year-old man with B-cell Non-Hodgkin lymphoma (B-NHL; diffuse large cell), stage 4B at relapse in 1983",/biosamples/ENCBS397COL/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Mark Minden,released,Homo sapiens OCI-LY1 cell line,,ENCBS729LWO
1206,ENCBS397ENC,unknown,,,primary cell,iris pigment epithelial cell,,,,,,,iris pigment epithelial cells,/biosamples/ENCBS397ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens iris pigment epithelial primary cell,,ENCBS430MWW
1207,ENCBS397GMO,14,year,14 years,cell line,MG63,,,,,,,,/biosamples/ENCBS397GMO/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens MG63 cell line,,ENCBS715KPQ
1208,ENCBS397OFS,89,day,89 days,tissue,renal cortex interstitium,,,,,,,"Kidney renal cortex tissue from a healthy day 89 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS397OFS/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (89 days) renal cortex interstitium tissue,,
1209,ENCBS397PLZ,56,year,56 years,cell line,Panc1,,,,,,,"pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays.",/biosamples/ENCBS397PLZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens Panc1 cell line,,ENCBS399ENC
1210,ENCBS397SLW,unknown,,,cell line,GM21515,,,,,2017-01-13,,"GM21515 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS397SLW/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21515 cell line,,
1211,ENCBS398DZA,unknown,,,in vitro differentiated cells,dendritic cell,lipopolysaccharide,stimulation,,,,2015-02-23,,/biosamples/ENCBS398DZA/,"Manuel Garber, UMass",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens dendritic in vitro differentiated cells treated with lipopolysaccharide,,
1212,ENCBS398ENC,unknown,,,primary cell,epithelial cell of prostate,,,,,,,prostate epithelial cell line,/biosamples/ENCBS398ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens epithelial of prostate primary cell,,ENCBS702FWT
1213,ENCBS398HLX,unknown,,,in vitro differentiated cells,ectodermal cell,,,,,,,"CD56+ ectodermal germ layer cells derived in vitro from embrionic stem cells by culture in the presence of inhibitors of the BMP, TGFbeta, and WNT signaling pathways. Cells were cultured in DMEM F12, 15% KSR, Dorsomorphin (2um), A83-01 (2um), PNU 74654 (2um) medium. Cells are in the intermediate differentiation stage and come from a healthy male embryo provided by Harvard University.",/biosamples/ENCBS398HLX/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male embryo ectodermal in vitro differentiated cells originated from HUES64,,ENCBS678KDE
1214,ENCBS399ENC,56,year,56 years,cell line,Panc1,,,,,,,"pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays.",/biosamples/ENCBS399ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens Panc1 cell line,,ENCBS397PLZ
1215,ENCBS399FWJ,unknown,,,primary cell,fibroblast of mammary gland,,,,,,,mammary fibroblasts,/biosamples/ENCBS399FWJ/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens female fibroblast of mammary gland primary cell,,ENCBS311AAA
1216,ENCBS399JWQ,5,day,5 days,cell line,H9,,,,,,,"Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H9 line and maintained on mTeSR medium. This human ES cell line express cell surface markers specific to undifferentiated nonhuman primate ES and human EC cells: stage-specific embryonic antigen SSEA (u20133), SSEA-4, TRA-l-60, TRA-1- 81, and alkaline phosphatase. It has a normal 46, XX karyotype.",/biosamples/ENCBS399JWQ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens H9 cell line,,ENCBS808UWK
1217,ENCBS399SQJ,72,year,72 years,tissue,skeletal muscle tissue,,,,,,,Human primary skeletal muscle tissue obtained from a 72 year old white female donor. Sample was obtained through surgery from MGH Pathology department.,/biosamples/ENCBS399SQJ/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens female adult (72 years) skeletal muscle tissue,,
1218,ENCBS399YGJ,33,year,33 years,primary cell,mammary stem cell,,,,,,,Breast progenitor enriched stem cells with a CD73+ marker. Cells came from a healthy 33 year old African American female donor. Cells provided by the Thea Tlsty lab.,/biosamples/ENCBS399YGJ/,"Joseph Costello, UCSF",adult,,,,,,,Homo sapiens,,,Thea Tlsty,released,Homo sapiens female adult (33 years) mammary stem primary cell,,
1219,ENCBS400ARI,27,year,27 years,primary cell,B cell,,,,,,2010-12-21,,/biosamples/ENCBS400ARI/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rajinder Kaul,released,Homo sapiens female adult (27 years) B primary cell,,ENCBS098ETX
1220,ENCBS400ENC,14,year,14 years,cell line,SK-N-MC,,,,,,,"Please note: This cell line was previously described as a neuroepithelioma (ATCC HTB-10). However recent evidence reveals it is Ewing's Sarcoma (http://www.ncbi.nlm.nih.gov/pubmed/15548687, http://www.ncbi.nlm.nih.gov/biosample/3151999,http://www.ncbi.nlm.nih.gov/pubmed/25453903)",/biosamples/ENCBS400ENC/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens SK-N-MC cell line,,ENCBS366AET
1221,ENCBS401BIU,60,year,60 years,tissue,right cardiac atrium,,,,,,2018-05-05,,/biosamples/ENCBS401BIU/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (60 years) right cardiac atrium tissue, preserved by cryopreservation",,
1222,ENCBS401ENC,unknown,,,primary cell,amniotic epithelial cell,,,,,,,amniotic epithelial cells,/biosamples/ENCBS401ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens amniotic epithelial primary cell,,ENCBS605VPK
1223,ENCBS401QZO,unknown,,,cell line,ES-I3,,,,,,,"The I3 stem cell line was derived from donated blastocysts by removal of the trophoblast layer and further culturing of the intact inner cell mass on mitotically inactivated mouse embryonic fibroblast (MEF) feeder cells. Following injection into SCID mice, the I3 line formed teratomas that contained tissues from all three embryonic germ layers. This line exhibits a normal XX karyotype. These cells were provided by Alex Meissner and maintained in mTeSR medium.",/biosamples/ENCBS401QZO/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Alex Meissner,released,Homo sapiens ES-I3 cell line,,ENCBS599JGY
1224,ENCBS401SWW,54,year,54 years,tissue,upper lobe of left lung,,,,,,2015-01-01,EnTEX: Lung,/biosamples/ENCBS401SWW/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) upper lobe of left lung tissue,,
1225,ENCBS401URL,4,year,4 years,tissue,liver,,,,,,2012-04-06,"Human liver tissue obtained from a healthy, 4 year old female donor",/biosamples/ENCBS401URL/,"Michael Snyder, Stanford",child,,,,,,,Homo sapiens,,,Michael Snyder,released,Homo sapiens female child (4 years) liver tissue,,
1226,ENCBS401VAK,87,year,87 years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS401VAK/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (87 years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
1227,ENCBS401ZBX,43,year,43 years,cell line,SU-DHL-6,,,,,2013-07-04,,also called SU-DHL-6 (diffuse histiocytic lymphoma) - disease: large cell lymphoma; diffuse mixed histiocytic and lymphocytic lymphoma; follicular B cell lymphoma; ATCC CRL-2959,/biosamples/ENCBS401ZBX/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Todd Golub,released,Homo sapiens SU-DHL-6 cell line,,ENCBS107PVI
1228,ENCBS402ENC,unknown,,,primary cell,epithelial cell of proximal tubule,,,,,,,renal proximal tubule epithelial cells,/biosamples/ENCBS402ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens epithelial of proximal tubule primary cell,,ENCBS166KRI
1229,ENCBS402XYB,54,year,54 years,tissue,sigmoid colon,,,,,,,,/biosamples/ENCBS402XYB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) sigmoid colon tissue,,
1230,ENCBS403ENC,2,year,2 years,cell line,BE2C,,,,,,,"neuroblastoma, BE-C is a clone of the SK-N-BE neuroblastoma cell line (see ATCC CRL-2271) that was established in November of 1972 from a bone marrow biopsy taken from a 2-year-old individual with disseminated neuroblastoma after repeated courses of chemotherapy and radiotherapy.",/biosamples/ENCBS403ENC/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens BE2C cell line,,ENCBS982TUR
1231,ENCBS403FLZ,104,day,104 days,tissue,brain,,,,,,,"Brain tissue from a healthy day 104 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS403FLZ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (104 days) brain tissue,,
1232,ENCBS403VCX,unknown,,,primary cell,fibroblast of the aortic adventitia,,,,,,,aortic adventitial fibroblast cells,/biosamples/ENCBS403VCX/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female fibroblast of the aortic adventitia primary cell,,ENCBS098SOQ
1233,ENCBS404JFE,89,day,89 days,tissue,renal pelvis,,,,,,,"Renal pelvic tissue from a healthy day 89 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS404JFE/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (89 days) renal pelvis tissue,,
1234,ENCBS404KSW,50,year,50 years,primary cell,"activated naive CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS404KSW/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (50 years) activated naive CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours",,ENCBS879GSE
1235,ENCBS404XAC,110,day,110 days,tissue,muscle of leg,,,,,,,"Leg muscle tissue from a healthy day 110 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS404XAC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (110 days) muscle of leg tissue,,
1236,ENCBS404ZYC,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS404ZYC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens male adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
1237,ENCBS405AJM,5,day,5 days,in vitro differentiated cells,neuronal stem cell,,,,,,,,/biosamples/ENCBS405AJM/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,ArunA Biomedical,released,Homo sapiens female embryo (5 days) neuronal stem in vitro differentiated cells originated from H9,,ENCBS454LPJ
1238,ENCBS405ENC,unknown,,,primary cell,epithelial cell of esophagus,,,,,,,esophageal epithelial cells,/biosamples/ENCBS405ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens epithelial of esophagus primary cell,,ENCBS515HSH
1239,ENCBS405EPC,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS405EPC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) head of caudate nucleus tissue,,
1240,ENCBS405JXY,73,year,73 years,tissue,heart right ventricle,,,,/biosamples/ENCBS779QVN/,,2018-12-24,,/biosamples/ENCBS405JXY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (73 years) heart right ventricle tissue,,
1241,ENCBS405TFR,53,year,53 years,tissue,body of pancreas,,,,,,,,/biosamples/ENCBS405TFR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) body of pancreas tissue,,
1242,ENCBS405WVO,97,day,97 days,primary cell,fibroblast of skin of abdomen,,,,,,,"Fetal skin fibroblasts of the abdomen from a 97 day old healthy donor. Cells provided by Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS405WVO/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (97 days) fibroblast of skin abdomen primary cell,,
1243,ENCBS406BPP,35,year,35 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS406BPP/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens female adult (35 years) T-cell primary cell,,
1244,ENCBS406ENC,unknown,,,primary cell,non-pigmented ciliary epithelial cell,,,,,,,non-pigment ciliary epithelial cells,/biosamples/ENCBS406ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,ScienCell,released,Homo sapiens non-pigmented ciliary epithelial primary cell,,ENCBS024ZMP
1245,ENCBS406VSG,66,year,66 years,tissue,heart right ventricle,,,,/biosamples/ENCBS875SYA/,,2018-12-28,,/biosamples/ENCBS406VSG/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (66 years) heart right ventricle tissue,,
1246,ENCBS407ALA,91,day,91 days,tissue,heart,,,,,,,"Heart tissue from a healthy day 91 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS407ALA/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (91 days) heart tissue,,
1247,ENCBS407ENC,14,year,14 years,cell line,"Jurkat, Clone E6-1",,,,,,,"T lymphoblastoid derived from an acute T cell leukemia, The Jurkat cell line was established from the peripheral blood of a 14 year old boy by Schneider et al., and was originally designated JM. - ATCC. (PMID: 68013)",/biosamples/ENCBS407ENC/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,"Homo sapiens Jurkat, Clone E6-1 cell line",,ENCBS551ZKL
1248,ENCBS407FDC,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-4","activation,stimulation",,,,,,/biosamples/ENCBS407FDC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 100 ng/mL Interleukin-4 for 24 hours",,
1249,ENCBS407SBU,33,year,33 years,primary cell,"effector memory CD8-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS407SBU/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (33 years) effector memory CD8-positive, alpha-beta T primary cell",,ENCBS035CTF
1250,ENCBS408ENC,22,year,22 years,cell line,AG10803,,,,,,,"abdominal skin fibroblasts from apparently healthy 22 year old, 8% of the cells examined showing random chromosome loss, 2% showing random chromosome gain, and 2% showing 69,XYY -Coriell",/biosamples/ENCBS408ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG10803 cell line,,ENCBS287ITL
1251,ENCBS408IRE,unknown,,,in vitro differentiated cells,dendritic cell,lipopolysaccharide,stimulation,,,,2016-05-09,,/biosamples/ENCBS408IRE/,"Manuel Garber, UMass",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens dendritic in vitro differentiated cells treated with lipopolysaccharide,,
1252,ENCBS408ZNY,unknown,,,primary cell,fibroblast of the aortic adventitia,,,,,,,aortic adventitial fibroblast cells,/biosamples/ENCBS408ZNY/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female fibroblast of the aortic adventitia primary cell,,ENCBS273AAA
1253,ENCBS409BCP,unknown,,,primary cell,"CD4-positive, alpha-beta memory T cell",,,,,,,"CD25- CD45RO+ memory T cells are one of CD4+ T cell subsets that purified by microbeads, LS column and FACS. Cells came from a healthy donor provided by Dana Farber Cancer Institute.",/biosamples/ENCBS409BCP/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens CD4-positive, alpha-beta memory T primary cell",,ENCBS988EOC
1254,ENCBS409BIE,6,year,6 years,in vitro differentiated cells,motor neuron,,,,,,,iPSC-derived motor neuron,/biosamples/ENCBS409BIE/,"Michael Snyder, Stanford",child,,,,,,,Homo sapiens,,,"Cooper-Knock lab, University of Sheffield, UK",released,Homo sapiens male child (6 years) with amyotrophic lateral sclerosis; motor neuron in vitro differentiated cells,,ENCBS182GDQ
1255,ENCBS409ENC,48,year,48 years,cell line,HCT116,,,,,,,colorectal carcinoma (PMID: 7214343),/biosamples/ENCBS409ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HCT116 cell line,,ENCBS650OZU
1256,ENCBS409MTT,48,year,48 years,cell line,HCT116,,,,,,,colorectal carcinoma (PMID: 7214343),/biosamples/ENCBS409MTT/,"Peggy Farnham, USC",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HCT116 cell line,,
1257,ENCBS409PYK,unknown,,,cell line,H1,,,,,,,Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and grown in mTeSR medium.,/biosamples/ENCBS409PYK/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens H1 cell line,,ENCBS977TKX
1258,ENCBS410CRU,42,year,42 years,primary cell,"common myeloid progenitor, CD34-positive",,,,,,,Flow sorted CD34+ cells from cord blood of a healthy 42 year old Caucasian male. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS410CRU/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens male adult (42 years) common myeloid progenitor, CD34-positive primary cell",,
1259,ENCBS410KPZ,51,year,51 years,tissue,heart left ventricle,,,,,,,,/biosamples/ENCBS410KPZ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) heart left ventricle tissue,,
1260,ENCBS411AMC,unknown,,,cell line,HFF-Myc,,,,,,,foreskin fibroblast cells expressing canine cMyc,/biosamples/ENCBS411AMC/,"John Stamatoyannopoulos, UW",newborn,,,,,,,Homo sapiens,,,Beverly Torok-Storb,released,Homo sapiens HFF-Myc cell line originated from foreskin fibroblast,,ENCBS553ENC
1261,ENCBS411HVU,unknown,,,cell line,GM21737,,,,,2017-01-13,,"GM21737 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS411HVU/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21737 cell line,,
1262,ENCBS411IUD,90 or above,year,90 or above years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS411IUD/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) posterior cingulate gyrus tissue,,
1263,ENCBS411JBC,unknown,,,cell line,BLaER1,"17β-estradiol,Interleukin-3,CSF1",stimulation,,"/biosamples/ENCBS531BQZ/,/biosamples/ENCBS129UKL/",2014-07-17,,,/biosamples/ENCBS411JBC/,"Roderic Guigo, CRG",unknown,,,,,,,Homo sapiens,,,Thomas Graf,released,"Homo sapiens BLaER1 cell line 6 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1",,ENCBS584ALJ
1264,ENCBS412DCK,40,week,40 weeks,tissue,chorionic villus,,,,,,,Placental Villi tissue from a 40 week healthy female Caucasian fetus,/biosamples/ENCBS412DCK/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Susan Fisher,released,Homo sapiens female embryo (40 weeks) chorionic villus tissue,,
1265,ENCBS412HHB,unknown,,,cell line,ES-I3,,,,,,,"The I3 stem cell line was derived from donated blastocysts by removal of the trophoblast layer and further culturing of the intact inner cell mass on mitotically inactivated mouse embryonic fibroblast (MEF) feeder cells. Following injection into SCID mice, the I3 line formed teratomas that contained tissues from all three embryonic germ layers. This line exhibits a normal XX karyotype. These cells were provided by Alex Meissner and maintained in mTeSR medium.",/biosamples/ENCBS412HHB/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Alex Meissner,released,Homo sapiens ES-I3 cell line,,ENCBS593HOC
1266,ENCBS412KSR,47,year,47 years,primary cell,natural killer cell,"Interleukin-12 subunit alpha,Interleukin-15,Interleukin-12 subunit beta,Interleukin-18",stimulation,,,,,,/biosamples/ENCBS412KSR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (47 years) natural killer primary cell treated with 100 ng/mL Interleukin-12 subunit alpha for 72 hours, 100 ng/mL Interleukin-15 for 72 hours, 100 ng/mL Interleukin-12 subunit beta for 72 hours, 100 ng/mL Interleukin-18 for 72 hours",,
1267,ENCBS412TKM,40,year,40 years,tissue,left cardiac atrium,,,,,,2018-03-09,,/biosamples/ENCBS412TKM/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (40 years) left cardiac atrium tissue, preserved by cryopreservation",,
1268,ENCBS412VQV,43,year,43 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS412VQV/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,Homo sapiens male adult (43 years) T-cell primary cell,,ENCBS791KYH
1269,ENCBS412WFM,54,year,54 years,tissue,esophagus muscularis mucosa,,,,,,,,/biosamples/ENCBS412WFM/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (54 years) esophagus muscularis mucosa tissue,,
1270,ENCBS412WIG,38,year,38 years,primary cell,"stimulated activated CD8-positive, alpha-beta memory T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-7","activation,stimulation",,,,,,/biosamples/ENCBS412WIG/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD8-positive, alpha-beta memory T primary cell treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-7 for 1 hour",,
1271,ENCBS413MJK,51,year,51 years,tissue,thyroid gland,,,,,,,,/biosamples/ENCBS413MJK/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) thyroid gland tissue,,
1272,ENCBS413QSJ,28,year,28 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS413QSJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (28 years) T-cell primary cell,,
1273,ENCBS413VCR,58,year,58 years,cell line,RCC 7860,,,,,,,Renal cell adenocarcinmoma,/biosamples/ENCBS413VCR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens RCC 7860 cell line,,ENCBS807WMR
1274,ENCBS413XRZ,82,year,82 years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS413XRZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens male adult (82 years) posterior cingulate gyrus tissue,,
1275,ENCBS414HDG,unknown,,,cell line,GM06990,,,,,,,"B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah, treatment: Epstein-Barr Virus transformed",/biosamples/ENCBS414HDG/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM06990 cell line,,ENCBS057ENC
1276,ENCBS414QCP,41,year,41 years,primary cell,natural killer cell,,,,,,,,/biosamples/ENCBS414QCP/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,Homo sapiens female adult (41 years) natural killer primary cell,,ENCBS834TFI
1277,ENCBS414XPF,37,year,37 years,tissue,lower leg skin,,,,,,,,/biosamples/ENCBS414XPF/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (37 years) lower leg skin tissue,,
1278,ENCBS415BNN,47,year,47 years,primary cell,natural killer cell,,,,,,,,/biosamples/ENCBS415BNN/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,Homo sapiens male adult (47 years) natural killer primary cell,,ENCBS090OSL
1279,ENCBS417ENC,unknown,,,primary cell,bronchial epithelial cell,,,,,,,small airway epithelial cells,/biosamples/ENCBS417ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens bronchial epithelial primary cell,,ENCBS875ORO
1280,ENCBS417KGL,36,year,36 years,cell line,MCF 10A,tamoxifen,activation,,,,,,/biosamples/ENCBS417KGL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kevin Struhl,released,Homo sapiens MCF 10A cell line treated with 1 μM tamoxifen for 24 hours,,
